unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,ISR,Israel,HEPBB,95,95,95,96,97,97,97,98,97,98,99,99,96,96,96,96,96,96,96,,,,,,,,,,,,,,,,,,,,
Western Europe,ITA,Italy,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,JPN,Japan,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,JOR,Jordan,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,HEPBB,95,90,95,95,95,95,96,96,96,97,95,96,97,98,99,99,99,95,98,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,HEPBB,89,89,79,75,66,84,82,66,63,52,59,58,68,70,72,74,76,78,80,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,HEPBB,99,99,92,99,96,98,97,98,99,99,99,99,99,99,99,98,96,95,94,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,HEPBB,97,97,96,97,99,96,94,73,99,98,98,98,97,98,99,99,99,93,45,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People's Democratic Republic,HEPBB,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LVA,Latvia,HEPBB,,,,,,,,,,97,98,97,97,98,99,98,99,99,98,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,HEPBB,80,80,80,80,80,80,83,86,88,91,94,94,94,94,94,94,94,90,90,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LTU,Lithuania,HEPBB,97,97,97,97,97,98,96,96,98,98,92,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MYS,Malaysia,HEPBB,95,90,88,88,90,87,91,95,95,95,99,90,90,90,95,90,90,97,92,,,,,,,,,,,,,,,,,,,,
South Asia,MDV,Maldives,HEPBB,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MLT,Malta,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MHL,Marshall Islands,HEPBB,94,97,99,99,87,92,96,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,HEPBB,98,98,98,98,90,82,90,98,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FSM,Micronesia (Federated States of),HEPBB,75,75,80,75,72,69,81,81,80,88,87,86,90,93,83,79,74,70,65,,,,,,,,,,,,,,,,,,,,
Western Europe,MCO,Monaco,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,HEPBB,98,98,98,97,97,97,97,96,95,98,94,97,98,89,98,99,98,98,96,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MNE,Montenegro,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,HEPBB,36,33,22,14,14,14,9,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MOZ,Mozambique,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MMR,Myanmar,HEPBB,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,NAM,Namibia,HEPBB,76,81,85,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,HEPBB,99,99,99,99,99,99,99,99,99,99,99,99,99,98,90,95,99,99,98,,,,,,,,,,,,,,,,,,,,
South Asia,NPL,Nepal,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NLD,Netherlands,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NZL,New Zealand,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,NIC,Nicaragua,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NER,Niger,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NGA,Nigeria,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NIU,Niue,HEPBB,54,84,88,92,96,99,99,99,55,99,99,99,70,9,21,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Western Europe,NOR,Norway,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,OMN,Oman,HEPBB,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,97,99,,,,,,,,,,,,,,,,,,,,
South Asia,PAK,Pakistan,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PLW,Palau,HEPBB,99,99,99,99,99,99,99,99,99,99,67,99,98,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PAN,Panama,HEPBB,85,87,84,85,84,79,87,93,89,78,80,83,79,75,85,57,30,2,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PNG,Papua New Guinea,HEPBB,25,33,35,32,31,37,35,31,31,26,27,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,HEPBB,73,75,79,79,78,82,81,76,74,71,79,73,66,67,68,60,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PHL,Philippines,HEPBB,50,55,59,56,51,46,39,46,37,34,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,POL,Poland,HEPBB,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92,94,94,95,,,,,,,,,,,,,,,,,,,,
Western Europe,PRT,Portugal,HEPBB,97,97,97,97,98,98,97,97,96,95,95,95,91,86,86,84,99,82,64,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,QAT,Qatar,HEPBB,97,97,96,95,92,93,95,95,99,94,94,93,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KOR,Republic of Korea,HEPBB,91,93,92,98,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MDA,Republic of Moldova,HEPBB,96,96,99,96,96,95,99,99,98,98,99,99,99,99,99,99,99,91,93,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,Republic of North Macedonia,HEPBB,98,98,98,98,98,98,99,97,95,93,92,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,HEPBB,36,36,93,96,73,98,99,99,98,97,99,90,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,HEPBB,82,83,90,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCA,Saint Lucia,HEPBB,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VCT,Saint Vincent and the Grenadines,HEPBB,97,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,WSM,Samoa,HEPBB,46,81,77,72,69,78,83,87,78,62,68,85,58,52,45,66,86,85,86,,,,,,,,,,,,,,,,,,,,
Western Europe,SMR,San Marino,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
