unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Eastern & Southern Africa,RWA,Rwanda,HIB3,97,98,98,98,98,98,98,97,97,97,97,97,99,95,89,96,88,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,HIB3,98,98,98,94,98,97,98,98,96,97,97,99,99,99,95,99,95,99,12,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCA,Saint Lucia,HIB3,95,80,95,99,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VCT,Saint Vincent and the Grenadines,HIB3,97,99,99,99,98,98,97,96,99,99,99,99,99,99,99,27,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,WSM,Samoa,HIB3,34,74,80,84,81,85,82,74,70,55,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SMR,San Marino,HIB3,91,88,85,83,82,80,87,92,88,88,90,89,91,93,93,94,95,95,95,95,92,88,84,80,76,72,69,65,,,,,,,,,,,
West & Central Africa,STP,Sao Tome and Principe,HIB3,95,95,96,96,95,97,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SAU,Saudi Arabia,HIB3,96,98,98,98,98,98,98,98,98,98,98,96,96,96,96,95,95,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SEN,Senegal,HIB3,82,91,93,89,89,92,91,92,89,86,88,94,89,18,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,HIB3,96,95,92,95,94,92,90,93,91,94,98,89,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,HIB3,99,97,96,97,99,98,98,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,HIB3,90,90,84,86,83,92,91,89,86,84,77,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,HIB3,96,96,96,96,86,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVK,Slovakia,HIB3,96,96,96,96,97,98,99,99,99,99,99,99,99,99,99,99,92,70,59,47,36,30,3,,,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,HIB3,93,94,94,95,95,95,96,96,96,96,97,97,97,95,94,95,93,93,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,HIB3,85,83,94,87,77,83,92,92,87,87,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,HIB3,42,42,42,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,HIB3,74,76,76,85,85,79,69,71,72,77,80,84,84,82,75,69,70,71,73,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,HIB3,49,47,45,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ESP,Spain,HIB3,94,95,97,97,96,96,97,97,97,96,97,96,98,96,97,98,97,96,92,82,82,,,,,,,,,,,,,,,,,,
South Asia,LKA,Sri Lanka,HIB3,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,PSE,State of Palestine,HIB3,99,99,99,99,99,99,97,99,99,97,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,HIB3,93,95,93,93,94,93,92,93,75,72,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,HIB3,95,81,91,89,85,86,84,86,86,87,84,84,84,83,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SWE,Sweden,HIB3,97,97,98,98,97,98,98,98,98,98,98,98,98,98,99,99,98,98,98,98,99,99,99,99,99,99,90,55,,,,,,,,,,,
