"","iso3","country","country.y","totalcases","totaldeaths","a1980","a1981","a1982","a1983","a1984","a1985","a1986","a1987","a1988","a1989","a1990","a1991","a1992","a1993","a1994","a1995","a1996","a1997","a1998","a1999","a2000","a2001","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","avg"
"100","MKD","Macedonia","Republic of North Macedonia",9547,442,0,0,0,0,0,0,0,0,0,0,0,0,0,95,90,95,98,97,90,97,97,97,91,95,94,99,92,95,94,98,96,94,95,97,99,94,99,97,97,61
"101","MLI","Mali","Mali",2494,123,0,19,23,26,30,33,37,51,64,85,82,68,70,74,75,76,80,84,79,78,69,75,82,74,76,83,86,86,86,84,82,84,77,70,73,76,77,81,83,64
"102","MLT","Malta","Malta",679,9,0,0,0,63,63,65,72,79,67,79,77,87,79,77,77,92,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"103","MMR","Myanmar","Myanmar",343,6,9,15,20,28,36,45,28,54,60,66,95,69,77,80,83,90,92,94,95,90,88,75,82,80,85,76,85,89,88,93,93,93,87,86,92,94,88,91,90,70
"104","MNE","Montenegro","Montenegro",1937,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,95,95,97,95,93,91,88,85,83,83,29
"105","MNG","Mongolia","Mongolia",287,0,51,53,52,52,52,52,54,60,78,92,81,85,83,84,90,94,90,96,95,97,97,98,98,98,98,99,98,99,98,98,99,99,99,99,99,99,99,99,99,82
"106","MOZ","Mozambique","Mozambique",1557,11,0,46,56,59,49,47,45,52,49,53,59,63,64,66,78,78,78,80,81,83,84,86,87,90,90,90,90,90,90,90,90,91,91,93,94,95,95,95,95,71
"107","MRT","Mauritania","Mauritania",5923,155,0,57,61,66,70,74,73,77,79,79,79,80,81,84,82,80,79,78,77,75,78,95,99,96,94,91,86,92,89,81,85,86,95,95,93,85,86,90,90,77
"108","MUS","Mauritius","Mauritius",343,10,89,87,89,88,88,87,88,87,88,88,87,87,87,87,87,86,86,87,87,86,88,89,87,99,99,99,97,98,96,95,99,99,99,99,97,98,98,99,99,87
"109","MWI","Malawi","Malawi",3302,76,0,86,87,81,74,87,87,92,90,96,97,96,98,96,94,97,95,99,99,87,83,93,78,91,97,99,99,95,97,95,97,99,99,96,97,90,86,89,92,86
"110","MYS","Malaysia","Malaysia",8831,123,94,91,95,94,95,95,96,98,99,99,99,99,99,98,97,98,98,98,98,99,99,98,98,99,99,98,98,99,99,99,99,99,99,99,99,99,99,98,98,93
"111","NAM","Namibia","Namibia",1402,7,0,0,0,0,0,0,0,0,0,0,0,91,92,92,99,92,79,65,85,80,77,69,81,92,94,95,88,95,88,85,88,89,90,94,97,94,89,94,94,60
"112","NER","Niger","Niger",1122,69,0,28,28,28,28,28,28,28,27,32,50,38,38,34,32,53,53,48,48,47,50,53,56,58,61,64,69,73,78,86,81,53,85,43,87,94,91,92,87,50
"113","NGA","Nigeria","Nigeria",38344,813,0,23,21,19,16,28,40,47,54,61,80,60,57,52,55,42,43,29,49,46,44,41,38,42,45,49,52,53,65,76,62,57,51,50,51,58,58,53,53,44
"114","NIC","Nicaragua","Nicaragua",3439,108,34,66,83,89,98,99,99,94,91,94,84,74,91,91,92,93,94,95,92,99,96,97,93,94,88,88,98,98,98,98,98,98,98,98,98,98,98,98,98,87
"115","NLD","Netherlands","Netherlands",52241,6139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","NOR","Norway","Norway",9053,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","NPL","Nepal","Nepal",18094,42,22,32,59,53,58,67,67,62,66,70,74,74,75,75,76,76,81,86,81,93,84,84,85,91,85,87,93,89,87,94,94,97,96,97,99,94,93,95,96,75
"118","OMN","Oman","Oman",71547,349,51,54,77,77,79,93,95,97,96,95,96,94,96,95,96,96,96,96,96,98,98,98,98,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,89
"119","PAK","Pakistan","Pakistan",269191,5709,6,11,12,35,55,62,69,72,77,80,80,80,80,77,75,73,59,62,66,70,74,78,82,80,78,78,77,77,75,74,74,83,84,84,85,86,86,86,86,67
"120","PAN","Panama","Panama",55906,1180,99,98,83,81,89,94,92,90,92,87,97,87,84,92,95,99,99,99,99,99,99,99,99,99,99,99,98,97,98,99,99,99,98,95,99,99,99,99,99,91
"121","PER","Peru","Peru",366550,13767,57,63,65,61,64,63,54,61,70,62,83,78,85,87,91,94,99,98,96,97,93,87,92,94,95,95,96,96,97,97,95,91,95,95,94,91,90,84,81,80
"122","PHL","Philippines","Philippines",72269,1843,56,61,66,69,71,76,84,90,95,96,96,97,94,91,86,82,86,91,92,92,92,92,85,86,91,91,91,90,93,90,83,91,89,87,79,80,90,82,75,81
"123","PNG","Papua New Guinea","Papua New Guinea",30,0,62,64,50,58,66,66,76,74,80,82,92,89,82,94,85,91,80,88,86,82,88,81,84,89,89,90,92,84,85,96,96,99,99,99,98,82,89,79,69,79
"124","POL","Poland","Poland",41162,1642,93,93,93,95,95,95,95,95,95,95,97,94,95,95,94,98,97,96,96,96,96,95,95,93,94,94,94,93,93,94,93,94,94,93,92,94,93,92,92,90
"125","PRT","Portugal","Portugal",49150,1702,0,74,76,76,79,82,71,78,86,87,88,89,92,91,87,94,87,87,88,85,82,82,81,81,83,89,99,98,98,98,96,97,99,99,99,32,0,0,0,73
"126","PRY","Paraguay","Paraguay",4000,36,31,42,47,55,80,68,51,66,56,66,75,78,84,80,82,82,83,83,84,85,85,86,83,88,97,98,99,98,94,91,93,94,93,91,96,96,94,96,91,77
"127","PSE","Palestine","State of Palestine",11280,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,91,95,89,92,91,92,97,96,99,98,99,99,99,99,99,98,98,98,99,99,99,99,99,99,59
