unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,OMN,Oman,PCV3,99,99,99,98,98,99,99,99,99,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,PAK,Pakistan,PCV3,79,79,78,80,68,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PLW,Palau,PCV3,89,89,98,95,93,93,82,61,45,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PAN,Panama,PCV3,92,90,83,82,75,68,62,55,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PNG,Papua New Guinea,PCV3,43,44,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,PCV3,94,93,99,90,86,90,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,PCV3,82,80,86,90,86,85,89,82,83,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PHL,Philippines,PCV3,43,36,36,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,POL,Poland,PCV3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,PRT,Portugal,PCV3,98,96,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,QAT,Qatar,PCV3,98,98,97,95,94,99,92,98,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KOR,Republic of Korea,PCV3,97,97,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MDA,Republic of Moldova,PCV3,94,78,77,71,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,Republic of North Macedonia,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,PCV3,82,70,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,PCV3,97,98,98,98,98,98,98,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCA,Saint Lucia,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VCT,Saint Vincent and the Grenadines,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,WSM,Samoa,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SMR,San Marino,PCV3,58,56,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,STP,Sao Tome and Principe,PCV3,95,95,96,96,95,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SAU,Saudi Arabia,PCV3,98,98,98,98,98,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SEN,Senegal,PCV3,81,92,93,89,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,PCV3,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,PCV3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,PCV3,90,90,84,86,83,92,92,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,PCV3,82,83,78,75,68,60,52,40,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVK,Slovakia,PCV3,96,96,96,96,96,98,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,PCV3,60,55,50,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,PCV3,84,81,87,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,PCV3,73,68,77,85,85,77,75,62,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ESP,Spain,PCV3,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,LKA,Sri Lanka,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,PSE,State of Palestine,PCV3,96,99,99,99,99,97,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,PCV3,93,95,93,93,97,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SWE,Sweden,PCV3,97,97,97,97,96,97,97,98,98,98,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CHE,Switzerland,PCV3,85,83,80,80,80,75,62,50,37,25,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SYR,Syrian Arab Republic,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TJK,Tajikistan,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,THA,Thailand,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TLS,Timor-Leste,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TGO,Togo,PCV3,88,90,89,86,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TON,Tonga,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,TTO,Trinidad and Tobago,PCV3,99,93,91,93,95,80,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,TUN,Tunisia,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TUR,Turkey,PCV3,97,96,98,97,96,97,97,96,93,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TKM,Turkmenistan,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TUV,Tuvalu,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,UGA,Uganda,PCV3,92,90,77,64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UKR,Ukraine,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ARE,United Arab Emirates,PCV3,99,96,99,99,99,98,96,95,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GBR,United Kingdom,PCV3,92,92,92,93,93,93,92,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,TZA,United Republic of Tanzania,PCV3,98,97,96,95,93,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,USA,United States,PCV3,92,93,93,93,93,92,92,94,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,URY,Uruguay,PCV3,93,94,94,94,95,93,93,92,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UZB,Uzbekistan,PCV3,96,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,VUT,Vanuatu,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of),PCV3,,,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,VNM,Viet Nam,PCV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,YEM,Yemen,PCV3,64,68,71,69,73,73,67,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZMB,Zambia,PCV3,90,94,90,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZWE,Zimbabwe,PCV3,89,89,90,87,91,95,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
