unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Latin America & Caribbean,VCT,Saint Vincent and the Grenadines,IPV1,96,96,99,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,WSM,Samoa,IPV1,46,81,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,STP,Sao Tome and Principe,IPV1,97,46,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SAU,Saudi Arabia,IPV1,96,99,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SEN,Senegal,IPV1,72,,72,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,IPV1,98,98,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,IPV1,99,99,99,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,IPV1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,IPV1,98,97,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,IPV1,88,72,67,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,IPV1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,IPV1,81,82,86,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,IPV1,34,34,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,LKA,Sri Lanka,IPV1,99,99,99,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,IPV1,84,,64,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,IPV1,93,88,96,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SYR,Syrian Arab Republic,IPV1,59,67,58,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TJK,Tajikistan,IPV1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
